name,px,py,pz,hlx,hly,hlz,hrx,hry,hrz
1,-0.999370,-0.018188,-0.000000,-0.999370,0.089631,-0.000000,-0.999370,-0.126007,-0.000000
2,-0.997479,-0.247158,-0.000000,-0.998740,-0.223579,-0.000000,-0.800000,-0.248607,-0.000000
3,0.000000,-0.248607,-0.000000,-0.200000,-0.248607,-0.000000,0.000000,-0.379187,-0.000000
4,0.000000,-1.000000,0.000000,0.000000,-0.999099,0.167216,0.100000,-1.000000,-0.170000
5,0.300000,-1.000000,0.000000,0.200000,-1.000000,8.360000,0.300000,-0.900000,-8.290000
6,0.600000,-0.200000,0.000000,0.431156,-0.417321,0.000000,0.684422,-0.091340,0.000000
7,0.726633,-0.000000,0.000000,0.726633,-0.045670,0.000000,0.726633,0.045670,0.000000
